Date,Close/Last,Volume,Open,High,Low
845,$167.40,67723830,$165.02,$167.82,$163.91
844,$165.07,69023940,$163.92,$166.5984,$163.57
840,$165.29,75329380,$170.62,$171.27,$165.04
839,$170.40,70618930,$167.39,$171.04,$166.77
838,$167.66,79265180,$168.02,$169.87,$166.64
837,$165.75,72246710,$168.71,$169.03,$165.50
834,$170.09,76575510,$171.78,$171.78,$169.20
833,$172.14,77594650,$171.16,$173.36,$169.85
832,$171.83,89058780,$172.36,$173.63,$170.13
831,$175.06,73401790,$177.50,$178.30,$174.415
830,$178.44,76545980,$174.57,$178.49,$174.44
827,$174.31,78751330,$174.03,$174.88,$171.94
826,$174.61,103049300,$177.84,$178.03,$174.40
825,$177.77,92633150,$178.55,$179.61,$176.70
824,$178.96,100589400,$176.69,$179.01,$176.34
823,$175.60,90371920,$172.17,$175.73,$172.00
820,$174.72,80546160,$173.88,$175.28,$172.75
819,$174.07,90131420,$171.06,$174.14,$170.21
818,$170.21,98062670,$167.99,$172.64,$167.65
817,$168.82,81532010,$165.51,$169.42,$164.91
816,$165.38,95811350,$163.51,$166.35,$163.015
813,$163.98,123511700,$160.51,$164.48,$159.76
812,$160.62,75615380,$158.61,$161.00,$157.63
811,$159.59,102300200,$157.05,$160.00,$154.46
810,$155.09,92964300,$150.90,$155.57,$150.38
809,$150.62,108732100,$151.45,$154.12,$150.10
806,$154.73,96970100,$158.93,$159.28,$154.50
805,$158.52,105342000,$160.20,$160.39,$155.98
804,$162.95,91454910,$161.475,$163.41,$159.41
803,$157.44,131148300,$158.82,$162.88,$155.80
802,$159.30,96418850,$163.36,$165.02,$159.04
799,$163.17,83819590,$164.49,$165.55,$162.10
798,$166.23,76678440,$168.47,$168.91,$165.55
797,$166.56,79724750,$164.39,$167.36,$162.95
796,$163.20,83474430,$164.695,$166.60,$161.97
795,$165.12,95056630,$163.06,$165.42,$162.43
792,$164.85,91974220,$163.84,$165.12,$160.8738
791,$162.74,141147500,$152.58,$162.85,$152.00
790,$160.07,90009250,$165.54,$166.15,$159.75
789,$164.32,91162760,$164.98,$166.69,$162.15
785,$167.30,82772670,$169.82,$170.5413,$166.19
